URL,Nom,Type,Departement,Ville,Cap été,Cap hiver,Cheminée,Bois,Eau,Couchage,Rando
Details,cabane pastorale de l estanyol,Cabane ouverte,Pyrénées-Orientales,Valmanya,10,10,Oui,Oui,Oui,bas flancs sans matelas (bien,gr 10 hrp canigou
Details,cabane de tremul,Cabane ouverte,Ariège,Bordes-Uchentein,3,3,,,,,valier
Details,le chalet du clot,Cabane ouverte,Haute-Pyrénées,Cauterets,43,43,,,,,
Details,cabane izandorre,Cabane ouverte,Navarre,Luzaide/Valcarlos,2,2,,,,,
Details,refuge de la fruitiere,Cabane ouverte,Haute-Pyrénées,Cauterets,0,0,,Oui,Oui,,lac d estom
Details,cabane mourede,Cabane ouverte,Haute-Pyrénées,Beaucens,0,0,,,,,
Details,cabane lac de peyrelade,Cabane ouverte,Haute-Pyrénées,Bagnères-de-Bigorre,0,0,,,,,
Details,cabane gela,Cabane ouverte,Haute-Pyrénées,Aragnouet,0,0,,,,,
Details,cabane artiguessans,Cabane ouverte,Haute-Garonne,Arlos,6,6,,,,,
Details,cabane courille,Cabane ouverte,Ariège,Arrien-en-Bethmale,6,6,Oui,,,2 lits avec matelas,
Details,cabane douillous,Cabane ouverte,Ariège,Couflens,3,3,Oui,Oui,Oui,,
Details,cabane coulmels,Cabane ouverte mais ocupée par le berger l'été,Ariège,Luzenac,2,2,Oui,Oui,,oui,boucle depuis le camping de luzenac
Details,cabane cap nestes,Cabane ouverte,Haute-Pyrénées,Sarrancolin,2,0,,,Oui,,
Details,cabane riberole,Cabane ouverte,Pyrénées-Orientales,Fontpédrouse,0,0,,,,,
Details,abri michaud,Cabane ouverte,Aragon,Sallent de G,3,3,,,,Non,
Details,cabane de niscoude,Cabane ouverte,Haute-Pyrénées,Saint-Lary-Soulan,2,2,,,,,pic lustou
Details,cabane dels aiguallut,Cabane ouverte,Aragon,Benasque,4,4,,,,,hrp mulleres
Details,toue de la pegue,Cabane ouverte,Haute-Pyrénées,Barèges,2,2,non,Oui,Oui,,
Details,cabane de hourdouch,Cabane ouverte,Haute-Pyrénées,Sost,3,3,Oui,Oui,,1,
Details,cabane de bargasera,Cabane ouverte,Aragon,Tella-Sin,4,4,Oui,,,,punta suelza
